country,region,population_millions,gdp_usd_billions,renewable_energy_percent,solar_capacity_gw,wind_capacity_gw,hydro_capacity_gw,nuclear_capacity_gw,coal_consumption_mtoe,natural_gas_consumption_mtoe,oil_consumption_mtoe,co2_emissions_mt,temperature_anomaly_celsius,renewable_investment_usd_billions,ev_adoption_percent,carbon_price_usd_per_ton,forest_coverage_percent,air_quality_index,energy_efficiency_score
United States,North America,335.8,28000.5,42.3,180.2,150.4,79.8,95.5,485.2,1650.8,850.4,4800.2,1.8,85.4,18.5,45.2,33.9,52,78.5
China,Asia,1425.7,19500.3,31.8,350.8,380.2,420.1,57.1,3200.5,380.2,720.8,11500.8,1.6,125.8,8.2,15.8,23.2,78,65.2
India,Asia,1428.6,4200.8,28.5,85.4,78.9,180.5,7.8,950.2,65.8,220.4,2800.4,1.9,35.2,3.8,8.5,21.8,168,58.9
Germany,Europe,83.2,4850.2,65.8,68.5,70.2,5.6,8.1,180.5,95.8,110.2,680.5,2.1,18.5,35.2,85.4,32.1,35,85.2
Japan,Asia,124.8,4200.5,28.9,105.8,8.5,95.2,31.2,350.8,105.2,180.5,1050.8,1.7,12.5,8.5,5.2,68.5,28,82.1
United Kingdom,Europe,67.5,3500.2,58.9,18.5,28.9,1.8,5.8,25.8,35.2,68.5,320.5,2.3,8.9,28.5,45.8,13.2,42,81.5
France,Europe,68.2,2950.8,35.2,20.8,22.5,25.2,61.2,15.2,45.8,85.2,280.5,2.0,5.8,25.8,95.2,31.8,38,83.8
Brazil,South America,216.4,2500.5,85.2,25.8,28.9,95.8,1.3,25.8,15.2,280.5,420.8,1.5,8.5,5.2,12.5,60.2,55,72.5
Canada,North America,39.8,2200.5,75.8,8.9,18.5,385.2,13.5,28.9,125.8,250.8,580.5,2.2,12.8,15.8,65.2,38.7,28,79.8
Russia,Europe/Asia,144.4,2100.8,20.5,2.5,2.8,55.2,30.5,125.8,450.2,180.5,1680.5,2.8,2.5,1.8,5.2,49.8,65,52.8
Australia,Oceania,26.6,1650.5,38.5,35.2,12.8,8.9,0.0,35.2,45.8,95.2,380.5,2.5,8.9,8.5,28.5,16.2,32,75.2
South Korea,Asia,51.8,1950.8,12.5,28.9,2.5,1.8,25.8,85.2,65.8,120.5,620.8,1.8,5.2,12.5,8.5,63.2,48,68.5
Mexico,North America,130.2,1850.5,28.9,12.5,8.9,12.8,1.3,18.5,65.8,95.2,450.8,2.1,5.8,5.2,15.8,33.6,68,65.8
Indonesia,Asia,277.5,1450.8,18.5,2.8,2.5,6.8,0.0,125.8,45.8,85.2,680.5,1.4,2.5,2.8,5.2,50.2,85,58.9
Saudi Arabia,Middle East,36.4,850.5,5.2,2.5,0.8,0.0,0.0,0.5,125.8,380.5,620.8,2.8,1.2,2.5,8.5,0.5,95,45.2
Netherlands,Europe,17.5,1050.8,48.5,18.5,8.9,0.0,0.5,8.9,35.2,28.9,150.5,2.2,5.8,45.8,125.8,10.8,25,88.5
Norway,Europe,5.5,550.2,98.5,2.5,5.8,35.2,0.0,0.5,5.2,12.8,35.2,1.9,2.8,85.2,185.2,37.4,18,92.5
Denmark,Europe,5.9,450.8,85.8,8.9,8.5,0.0,0.0,2.5,2.8,8.9,28.5,2.1,5.2,58.9,285.2,14.6,22,90.8
Sweden,Europe,10.5,650.2,75.8,2.5,12.8,16.5,6.8,2.8,1.8,15.2,35.2,2.0,3.5,48.5,185.8,68.9,20,89.2
Finland,Europe,5.6,350.5,68.5,1.2,5.8,3.5,2.8,5.2,2.5,12.8,42.5,2.3,2.5,35.2,95.8,73.1,15,87.5
Switzerland,Europe,8.8,950.8,75.2,8.5,0.8,15.2,3.2,0.5,3.5,25.8,35.2,2.1,1.8,45.8,285.5,31.4,18,91.2
Belgium,Europe,11.6,650.5,35.8,8.9,5.8,0.5,5.9,5.2,18.5,35.2,85.5,2.0,2.5,28.9,65.8,22.8,38,82.5
Austria,Europe,9.1,550.8,78.5,3.5,3.8,15.8,0.0,2.8,8.9,28.9,65.2,2.2,2.8,35.2,95.2,47.2,25,86.8
Portugal,Europe,10.3,350.5,68.9,2.8,5.8,7.2,0.0,2.5,5.8,12.8,42.5,2.4,1.5,28.5,85.2,35.4,28,84.5
Spain,Europe,47.8,1850.5,55.8,28.9,35.2,17.8,7.8,8.9,28.5,68.5,280.5,2.3,8.5,15.8,65.2,36.8,35,81.2
Italy,Europe,58.9,2450.8,45.8,28.9,12.8,22.5,0.0,8.9,68.5,95.2,320.5,2.2,5.8,12.5,45.8,31.2,42,78.9
Greece,Europe,10.6,250.5,38.5,5.8,5.2,3.8,0.0,5.2,5.8,18.5,65.2,2.5,1.2,8.5,25.8,31.8,48,74.5
Poland,Europe,37.7,850.5,18.5,12.8,8.9,2.5,0.0,48.5,18.5,28.9,280.5,2.1,2.8,5.2,15.8,30.5,55,68.2
Czech Republic,Europe,10.9,350.8,18.5,2.8,0.8,2.2,3.8,18.5,8.9,12.8,95.2,2.0,1.5,5.2,25.8,34.4,45,72.8
Hungary,Europe,9.6,250.5,22.5,5.8,0.8,0.7,3.8,5.2,8.9,8.9,48.5,2.1,1.2,3.5,18.5,22.3,52,70.5
Romania,Europe,19.1,350.8,48.5,1.8,3.5,6.8,1.3,8.9,12.8,15.2,85.2,2.2,1.5,2.5,12.8,28.7,58,69.8
Bulgaria,Europe,6.9,120.5,25.8,1.8,0.8,3.2,2.1,8.9,3.5,5.2,42.5,2.3,0.8,1.8,8.5,36.2,68,67.5
Croatia,Europe,3.9,85.5,38.5,1.2,0.8,2.2,0.0,2.8,2.5,5.8,18.5,2.1,0.5,2.5,12.5,34.4,42,75.2
Slovenia,Europe,2.1,85.2,45.8,0.8,0.0,1.3,0.7,1.2,0.8,3.5,12.8,2.0,0.5,8.5,25.8,61.9,32,78.5
Slovakia,Europe,5.5,150.5,18.5,0.8,0.0,2.5,1.9,2.8,5.2,3.5,28.5,2.1,0.8,2.5,15.8,40.2,48,71.8
Lithuania,Europe,2.8,85.5,35.8,0.5,0.8,0.9,1.2,0.5,2.5,2.8,12.5,2.2,0.5,5.2,18.5,35.0,38,76.2
Latvia,Europe,1.9,55.2,58.9,0.2,0.8,1.5,0.0,0.2,1.8,2.5,8.5,2.1,0.3,3.5,15.8,54.1,35,79.5
Estonia,Europe,1.3,45.8,35.2,0.3,0.8,0.0,0.0,2.5,0.8,1.8,12.8,2.0,0.2,8.5,25.8,52.7,22,77.8
Ireland,Europe,5.1,550.8,48.5,1.8,5.8,0.8,0.0,1.8,5.2,8.9,35.2,2.2,1.5,18.5,45.8,11.0,25,83.5
Iceland,Europe,0.4,35.2,98.9,0.0,0.0,2.1,0.0,0.0,0.0,0.8,2.5,1.8,0.1,58.9,285.2,0.3,12,95.2
Luxembourg,Europe,0.6,95.5,25.8,0.3,0.2,1.3,0.0,0.2,0.8,2.5,8.5,2.1,0.2,28.5,125.8,33.5,22,87.2
Malta,Europe,0.5,25.8,12.5,0.2,0.0,0.0,0.0,0.0,0.5,1.8,2.5,2.4,0.1,8.5,35.2,1.1,45,74.8
Cyprus,Europe,1.2,35.5,18.5,0.3,0.2,0.0,0.0,0.2,0.8,2.5,8.5,2.3,0.2,5.2,28.5,18.8,38,72.5
Turkey,Europe/Asia,85.2,950.8,48.5,12.8,12.5,32.1,0.0,35.2,48.5,28.9,380.5,2.4,5.8,5.2,18.5,15.2,65,68.9
Ukraine,Europe,41.2,250.5,12.5,8.9,1.8,4.8,13.1,25.8,12.8,5.2,150.5,2.5,1.2,1.8,8.5,16.8,72,58.2
Belarus,Europe,9.4,85.2,8.5,0.2,0.0,0.0,1.2,2.5,18.5,5.2,65.2,2.3,0.5,0.8,5.2,42.7,58,62.5
Moldova,Europe,2.6,18.5,35.8,0.8,0.0,0.6,0.0,0.2,1.8,1.2,5.2,2.2,0.1,1.2,8.5,11.3,55,65.8
Georgia,Europe/Asia,3.7,25.8,85.2,0.2,0.0,3.1,0.0,0.2,2.5,1.8,8.5,2.1,0.2,2.5,12.5,39.4,48,72.1
Armenia,Asia,2.9,18.5,38.5,0.3,0.0,1.0,0.4,0.2,2.5,1.2,5.2,2.0,0.1,1.8,8.5,11.2,52,68.2
Azerbaijan,Asia,10.2,65.8,12.5,0.2,0.0,1.3,0.0,0.2,12.8,8.9,35.2,2.2,0.3,0.8,5.2,11.8,68,55.8
Kazakhstan,Asia,19.8,250.5,8.5,1.2,0.8,2.2,0.0,48.5,18.5,12.8,220.5,2.6,0.8,0.5,2.5,1.2,85,48.5
